category,type,date,impressions,clicks,cost_micros
Feeditem,AffiliateLocation,2022-01-01,59611,5209,11284430000
Feeditem,AffiliateLocation,2022-01-02,65963,6192,13016830000
Feeditem,AffiliateLocation,2022-01-03,53127,5506,11096040000
Feeditem,AffiliateLocation,2022-01-04,92016,10371,69377630000
Feeditem,AffiliateLocation,2022-01-05,94892,11361,77287670000
Feeditem,AffiliateLocation,2022-01-06,95051,11451,75422290000
Feeditem,AffiliateLocation,2022-01-07,84815,10230,57496490000
Feeditem,AffiliateLocation,2022-01-08,89532,10777,58143870000
Feeditem,AffiliateLocation,2022-01-09,87640,10767,56148180000
Feeditem,AffiliateLocation,2022-01-10,92848,11217,65454760000
Feeditem,AffiliateLocation,2022-01-11,77492,9341,44243160000
Feeditem,AffiliateLocation,2022-01-12,72178,8994,26703390000
Feeditem,AffiliateLocation,2022-01-13,58680,7649,18932230000
Feeditem,AffiliateLocation,2022-01-14,56560,6799,17953020000
Feeditem,AffiliateLocation,2022-01-15,58050,6979,18097260000
Feeditem,AffiliateLocation,2022-01-16,56378,6931,17465080000
Feeditem,AffiliateLocation,2022-01-17,58291,6831,18093980000
Feeditem,AffiliateLocation,2022-01-18,56516,6585,15227500000
Feeditem,AffiliateLocation,2022-01-19,59837,6869,16068080000
Feeditem,AffiliateLocation,2022-01-20,61257,7050,20299240000
Feeditem,AffiliateLocation,2022-01-21,64730,7712,22808290000
Feeditem,AffiliateLocation,2022-01-22,71118,8296,26297770000
Feeditem,AffiliateLocation,2022-01-23,71794,8743,26429070000
Feeditem,AffiliateLocation,2022-01-24,67206,8174,25209140000
Feeditem,AffiliateLocation,2022-01-25,62352,7477,16503530000
Feeditem,AffiliateLocation,2022-01-26,63716,7774,18011060000
Feeditem,AffiliateLocation,2022-01-27,64849,7967,21945640000
Feeditem,AffiliateLocation,2022-01-28,63925,7892,23480560000
Feeditem,AffiliateLocation,2022-01-29,67250,8353,24085450000
Feeditem,AffiliateLocation,2022-01-30,67515,8406,25574030000
Feeditem,AffiliateLocation,2022-01-31,56592,7308,21476490000
Feeditem,AffiliateLocation,2022-02-01,60919,7983,29180770000
